date,term,top
2020-03-27,COVID-19,0
2020-03-27,Boris Johnson,1
2020-03-27,Thomas Massie,2
2020-03-27,Ozark,3
2020-03-27,Drew Brees,4
2020-03-27,Bill Gates,5
2020-03-27,Kourtney Kardashian,6
2020-03-27,Doris Burke,7
2020-03-27,Pope Francis,8
2020-03-27,Krispy Kreme,9
2020-03-27,Roman Reigns,10
2020-03-27,A Million Little Things,11
2020-03-27,Pearl Jam Gigaton,12
2020-03-27,Gretchen Whitmer,13
2020-03-27,Bill Ackman,14
2020-03-27,Till Lindemann,15
2020-03-27,Trish Regan,16
2020-03-27,Steven Universe Future,17
2020-03-27,Urbi et Orbi,18
2020-03-27,Nc stay-at-home order,19
