"article","project","timestamp","views"
"2019–20_coronavirus_pandemic","en.wikipedia","2020032600",1148284
"2020_coronavirus_pandemic_in_India","en.wikipedia","2020032600",513901
"Coronavirus","en.wikipedia","2020032600",397959
"2020_coronavirus_pandemic_in_the_United_States","en.wikipedia","2020032600",337676
"2019–20_coronavirus_pandemic_by_country_and_territory","en.wikipedia","2020032600",298603
"2020_coronavirus_pandemic_in_Italy","en.wikipedia","2020032600",297687
"Coronavirus_disease_2019","en.wikipedia","2020032600",292272
"2020_coronavirus_pandemic_in_Spain","en.wikipedia","2020032600",114732
"2020_coronavirus_pandemic_in_the_United_Kingdom","en.wikipedia","2020032600",111856
"Anthony_Fauci","en.wikipedia","2020032600",103205
